texture_class,hydrologic_soil_group,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,total_porosity,field_capacity_porosity,wilting_point_porosity,available_water_capacity,ksat_cm_day,ksat_in_hr,k_fc_cm_day,k_wp_cm_day,theta_r,vg_alpha_1cm,vg_n,k0_cm_day,mualem_L,implausible_bd
silt loam,B,20,65,15,1.9,0.3031183095794415,0.22978336309452163,0.11845744573798084,0.1113259173565408,4.470071807811413,0.0733279496032056,0.010704744150445858,1.6399371882381846e-06,0.07280941036987287,0.00776556310907205,1.340082922143933,2.002783328849406,-0.9150011962696917,True
silt,B/D,7,88,5,0.8,0.5618079602197238,0.35133105794412667,0.1026068105363717,0.24872424740775495,1381.027892408713,22.654657027701983,0.0392681596438138,4.58656436564787e-08,0.08251463415807408,0.0057856987540878405,1.7106138076548136,3.9271048491941816,0.39009345200787093,False
silt,B/D,7,88,5,0.9,0.533024701335271,0.3801791758155164,0.10231992080291355,0.2778592550126029,690.764126921542,11.33143252824052,0.06381859231732534,5.501755294175557e-08,0.07761524747748814,0.00411258758554218,1.7068820467264916,2.692283864540255,0.6416002762261919,False
silt,B/D,7,88,5,1.0,0.5064566134162652,0.3769616191518343,0.09985147900975587,0.2771101401420784,369.83817667583577,6.0668992236849695,0.06675405852236645,5.896633714214015e-08,0.07369981778442197,0.0036456037704846143,1.7011763389895889,2.102763645399881,0.7129051750138617,False
silt,B/D,7,88,5,1.1,0.4819396682237583,0.36129179612394396,0.09647400381250656,0.2648177923114374,215.55795777038,3.536055737703084,0.05934572697428852,6.221462920772205e-08,0.07048994432325828,0.0035947921170675213,1.692589143742268,1.800943471479978,0.6855610008182004,False
silt,B/D,7,88,5,1.2,0.4591845834900028,0.340923568589631,0.09304781563859377,0.24787575295103725,136.1010145370309,2.23262819122426,0.050095245615795585,6.884706674838766e-08,0.06785429151533633,0.003751799788350436,1.680473264104818,1.668562154397384,0.6008365721508248,False
silt,B/D,7,88,5,1.3,0.43784791222569974,0.3189433685837132,0.0900152320162252,0.228928136567488,92.34650526505459,1.5148704931931527,0.04118815179747349,8.013737630326502e-08,0.06573535725649413,0.004054235984918698,1.6643731564283766,1.6315066926608273,0.48247573575766517,False
silt,B/D,7,88,5,1.4,0.4175678931241432,0.2966628375930519,0.08757329169501091,0.209089545898041,68.16864653839224,1.1182520757610275,0.03324556089259589,9.756587403093132e-08,0.06411430425459354,0.004493855604771715,1.64409085565901,1.6612476611364304,0.34248222014378527,False
silt,B/D,7,88,5,1.5,0.3980205415936534,0.2743462762393555,0.0857596467363213,0.18858662950303418,58.82460363698073,0.9649705321027023,0.026304749776846402,1.2369465838606579e-07,0.06300130857191674,0.005114744716207525,1.61954091833491,1.7597347362762787,0.1819683384714862,False
silt,B/D,7,88,5,1.6,0.37890325325745033,0.2517012755403968,0.08448732847368415,0.16721394706671264,70.47569006399654,1.156097277952699,0.020276850970851783,1.632603584236302e-07,0.06241669381161756,0.006031399694308288,1.5910608557679287,1.955504815335649,-0.006952697691977883,False
silt,B/D,7,88,5,1.7,0.36000851330631445,0.22804533948827313,0.08351553134398802,0.14452980814428512,129.25848974743874,2.120382049662709,0.015212441627664613,2.26497394973481e-07,0.06241570199387916,0.007501114869074646,1.5602747974759585,2.3373826547468433,-0.24120721066226292,True
silt,B/D,7,88,5,1.8,0.3414331143142155,0.20144551361107943,0.08163456028754962,0.11981095332352981,571.2736089367514,9.371286235839099,0.011430736820952072,3.2111988906153146e-07,0.06306851633683655,0.010061774766910182,1.5396758722484738,3.1458554652325135,-0.5348835119497591,True
silt,B/D,7,88,5,1.9,0.32334361103954645,0.17381165236544305,0.07956054404458503,0.09425110832085802,1463.2791843140837,24.003923627199537,0.00903586408943991,5.06060406931707e-07,0.06448724649779045,0.014708509877394008,1.526872950058332,4.95584173199255,-0.8830015901324854,True
sandy clay loam,C,60,13,27,0.8,0.5864533030007846,0.3861332487310021,0.18616901555464918,0.1999642331763529,231.90284702920744,3.8041805615027466,0.010097425668687652,1.1045601036359936e-06,0.11156761494742004,0.013172727485331395,1.3501019884349497,6.082280720782688,-0.7849063167127962,False
sandy clay loam,C,60,13,27,0.9,0.5598376418387351,0.36737825895903764,0.17645089139195666,0.19092736756708098,174.01463000948127,2.85457070225527,0.008616340850323506,8.655335337598993e-07,0.10839982390640096,0.012938450443778287,1.3591273545956963,4.9622930774658265,-0.751245840146976,False
sandy clay loam,C,60,13,27,1.0,0.534109066035604,0.34835529454385034,0.1677649776379394,0.18059031690591093,128.8978065505097,2.1144653305529806,0.007523426608918932,7.332126761667586e-07,0.10563254613040918,0.01304297957519181,1.3659324206766779,4.332611668155699,-0.7547334081071,False
