code,texture,horizon,depth_upper,depth_lower,bulk_density_g_cm3,OM_content,OC_pct,is_mineral
4151,sand,B2,35.0,60.0,1.62,0.88,0.5104,True
4152,sand,B3,60.0,90.0,1.69,0.2,0.11599999999999999,True
4160,sandy loam,Ap,0.0,30.0,1.7,1.07,0.6206,True
4161,sandy loam,A/B,30.0,65.0,1.62,0.56,0.32480000000000003,True
4162,sandy loam,C,65.0,100.0,1.52,0.07,0.040600000000000004,True
4170,sandy loam,Ap,0.0,29.0,1.46,0.92,0.5336,True
4171,sandy loam,B2t,29.0,53.0,1.48,0.33,0.1914,True
4172,sandy loam,B3t,53.0,80.0,1.59,0.26,0.1508,True
4180,silt loam,Ap,0.0,28.0,1.53,1.86,1.0788,True
4181,silt loam,B2t,28.0,40.0,1.45,0.47,0.27259999999999995,True
4182,silt loam,B3t,40.0,60.0,1.49,0.37,0.21459999999999999,True
4183,silt loam,C,60.0,100.0,1.6,0.27,0.1566,True
4450,silty clay loam,,1.0,30.0,1.32,1.7,0.9859999999999999,True
4480,sand,,30.0,150.0,1.6,0.4,0.23199999999999998,True
4510,silt loam,C,30.0,50.0,1.533,0.95,0.5509999999999999,True
4511,silt loam,C,30.0,50.0,1.55,0.95,0.5509999999999999,True
4512,silt loam,C,30.0,50.0,1.55,0.95,0.5509999999999999,True
4514,silt loam,C,30.0,50.0,1.55,0.95,0.5509999999999999,True
4520,sand,C,70.0,90.0,1.43,0.27,0.1566,True
4521,sand,C,70.0,90.0,1.43,0.27,0.1566,True
4522,sand,C,70.0,90.0,1.43,0.27,0.1566,True
4523,sand,C,70.0,90.0,1.55,0.27,0.1566,True
4530,silt loam,C,35.0,55.0,1.49,2.09,1.2122,True
4531,silt loam,C,35.0,55.0,1.49,2.09,1.2122,True
4532,silt loam,C,35.0,55.0,1.49,2.09,1.2122,True
4533,silt loam,C,35.0,55.0,1.49,2.09,1.2122,True
4540,loam,C,60.0,80.0,1.61,1.38,0.8003999999999999,True
4541,loam,C,60.0,80.0,1.61,1.38,0.8003999999999999,True
4542,loam,C,60.0,80.0,1.61,1.38,0.8003999999999999,True
4543,loam,C,60.0,80.0,1.61,1.38,0.8003999999999999,True
4544,loam,C,60.0,80.0,1.61,1.38,0.8003999999999999,True
4550,sandy loam,Ap,1.0,21.0,1.5,0.94,0.5451999999999999,True
4551,sandy loam,B1,21.0,33.0,1.7,0.6900000000000001,0.4002,True
4552,sandy loam,B2,33.0,84.0,1.7,0.62,0.3596,True
4553,sandy loam,BCa,84.0,126.0,1.6,0.3,0.174,True
4560,silt loam,Ap,0.0,18.0,1.34,2.72,1.5776000000000001,True
4561,silt loam,B1,18.0,38.0,1.4,1.55,0.8989999999999999,True
4570,silt loam,Ap,0.0,15.0,1.39,4.3,2.4939999999999998,True
4571,sandy loam,A1,15.0,25.0,1.54,0.6,0.348,True
4572,loam,A2,25.0,30.0,1.49,0.2,0.11599999999999999,True
4573,loam,A2B,30.0,38.0,1.58,0.5,0.29,True
4580,loamy sand,A,0.0,40.0,1.45,1.34,0.7772,True
4581,loamy sand,B1,40.0,80.0,1.62,0.74,0.42919999999999997,True
4582,loamy sand,B2,80.0,120.0,1.7,0.42,0.24359999999999998,True
4590,loam,,5.0,10.0,1.11,3.5,2.03,True
4591,loam,,5.0,10.0,1.04,3.4,1.9719999999999998,True
4592,loam,,5.0,10.0,1.21,3.9,2.262,True
4600,loam,,5.0,10.0,1.04,3.4,1.9719999999999998,True
4601,sandy clay loam,,15.0,20.0,1.04,3.4,1.9719999999999998,True
4602,sandy clay loam,,20.0,25.0,1.04,2.6,1.508,True
4610,loam,,5.0,10.0,1.11,3.1,1.7979999999999998,True
4611,sandy clay loam,,15.0,20.0,1.11,3.1,1.7979999999999998,True
4612,sandy clay loam,,20.0,25.0,1.11,3.1,1.7979999999999998,True
4620,loam,,5.0,10.0,1.21,3.9,2.262,True
4621,sandy clay loam,,15.0,20.0,1.21,3.5,2.03,True
4622,sandy clay loam,,20.0,25.0,1.21,3.2,1.8559999999999999,True
4650,sand,Ae,20.0,30.0,1.622,0.6,0.348,True
4651,sand,Bhs,50.0,70.0,1.613,2.1,1.218,True
4660,sand,Ah,15.0,25.0,1.37,2.31,1.3397999999999999,True
4661,sand,Bv,30.0,40.0,1.49,0.5,0.29,True
4670,silt,A1,20.0,30.0,1.42,0.86,0.49879999999999997,True
4671,silt loam,Ag1,40.0,50.0,1.56,0.17,0.09860000000000001,True
4672,silt loam,Bt,75.0,85.0,1.61,0.17,0.09860000000000001,True
4673,silt loam,B1t,115.0,125.0,1.56,0.17,0.09860000000000001,True
4680,clay,,20.0,25.0,1.1,3.8,2.2039999999999997,True
4681,clay,,35.0,40.0,1.08,2.9,1.682,True
4920,silt loam,,0.0,7.0,1.24,1.69,0.9801999999999998,True
4921,silt loam,,7.0,15.0,1.2,1.5,0.8699999999999999,True
4922,silt loam,,15.0,22.0,1.2,1.2,0.696,True
4923,silt loam,,22.0,30.0,1.17,1.2,0.696,True
