texture_class,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,total_porosity,field_capacity_porosity,wilting_point_porosity,available_water_capacity
sandy clay loam,60,13,27,0.9,0.5598376418387351,0.36737825895903764,0.17645089139195666,0.19092736756708098
sandy clay loam,60,13,27,1.0,0.534109066035604,0.34835529454385034,0.1677649776379394,0.18059031690591093
sandy clay loam,60,13,27,1.1,0.5089529276990777,0.330167803874055,0.16032972863109826,0.16983807524295672
sandy clay loam,60,13,27,1.2,0.4839837127546068,0.3132877588377749,0.1541935805313699,0.159094178306405
sandy clay loam,60,13,27,1.3,0.4589144119405412,0.29801663033132497,0.1494462640891524,0.14857036624217257
sandy clay loam,60,13,27,1.4,0.4335648891068072,0.28456815591861445,0.14631519847226263,0.13825295744635183
sandy clay loam,60,13,27,1.5,0.40777146615110765,0.2732684461838168,0.14530969477809694,0.12795875140571986
sandy clay loam,60,13,27,1.6,0.38129839137363275,0.26447998250256527,0.14734077689908218,0.1171392056034831
sandy clay loam,60,13,27,1.7,0.3541575162217673,0.25724423257393264,0.15233281331042015,0.1049114192635125
sandy clay loam,60,13,27,1.8,0.3271964350843022,0.24874813584233557,0.15726256520586043,0.09148557063647514
sandy clay loam,60,13,27,1.9,0.3013667904276968,0.23742640382915714,0.15908575697251864,0.0783406468566385
sandy clay loam,60,13,27,2.0,0.2776524409373199,0.22393690504820393,0.15719185694067372,0.06674504810753021
clay loam,30,35,35,0.8,0.5992184728850953,0.4480563253074328,0.20453595890145795,0.24352036640597483
clay loam,30,35,35,0.9,0.5701044861783471,0.4267975731930837,0.19626566714409455,0.23053190604898915
clay loam,30,35,35,1.0,0.5419017772154071,0.4056412863904555,0.1893097308883216,0.2163315555021339
clay loam,30,35,35,1.1,0.5143624166072668,0.38537400063328403,0.18373458084312147,0.20163941979016256
clay loam,30,35,35,1.2,0.487282303425835,0.3663349085824475,0.17947338132776303,0.18686152725468447
clay loam,30,35,35,1.3,0.46052639142011803,0.34859065733220984,0.17643941957108905,0.1721512377611208
clay loam,30,35,35,1.4,0.4340033321569684,0.3320906122053433,0.17465065930365437,0.15743995290168894
clay loam,30,35,35,1.5,0.4076491723179397,0.3167357264764649,0.17425313511884816,0.14248259135761676
clay loam,30,35,35,1.6,0.3813389925853509,0.3023749906947138,0.17552492362428485,0.12685006707042895
clay loam,30,35,35,1.7,0.35512231663781757,0.2885232347035881,0.17814246544110607,0.11038076926248203
clay loam,30,35,35,1.8,0.32957815079509173,0.2744703940175796,0.1805588256153557,0.09391156840222392
clay loam,30,35,35,1.9,0.3051349846305642,0.25968384617193996,0.1812108936614184,0.07847295251052155
clay loam,30,35,35,2.0,0.28224918790470477,0.24426476016934529,0.1793730400195095,0.0648917201498358
silty clay loam,10,56,34,0.8,0.6093837599190601,0.47894088467927554,0.19905131409918367,0.2798895705800919
